,sentence,trigger1,trigger2
0," ,The government passed a law to increase funding for public education, in an effort to improve educational outcomes.",passed,increase
1,",The government passed a law to increase funding for infrastructure projects, in an effort to create jobs and stimulate economic growth.",passed,create
2,",The government passed a law to increase funding for research and development, in an effort to promote technological innovation.",passed,promote
3,",The government passed a law to increase funding for renewable energy projects, in an effort to reduce carbon emissions and combat climate change.",passed,reduce
4,",The government passed a law to increase funding for social services, in an effort to reduce poverty and inequality.",passed,reduce
5,",The government passed a law to increase funding for public safety initiatives, in an effort to reduce crime and improve public safety.",passed,improve
6," ,The United Nations Security Council voted unanimously to impose economic sanctions on Iraq in response to its invasion of Kuwait.",voted,impose
7,",The government is introducing a new law to protect the rights of indigenous peoples, in an effort to promote cultural diversity and respect for traditional ways of life.",introducing,promote
8,",The government is introducing a new law to protect the rights of refugees, in an effort to ensure safe and dignified living conditions.",introducing,ensure
9,",The government is introducing a new law to protect the rights of women, in an effort to promote gender equality and combat discrimination.",introducing,promote
10," ,The government is introducing a new law to protect the rights of children, in an effort to ensure their safety and well-being.",Introducing,ensure
11,",The government is introducing a new law to protect the rights of immigrants, in an effort to promote integration and cultural understanding.",Introducing,Promote
12," ,The government has passed a law to increase the minimum wage, in an effort to reduce poverty and improve living standards.",passed,reduce
13,",The government has implemented a new policy to provide free education to all citizens, in an effort to promote economic growth and social development.",implemented,promote
14,",The government has passed a law to protect the environment, in an effort to reduce pollution and conserve natural resources.",passed,reduce
15,",The government has implemented a new policy to provide subsidies to farmers, in an effort to increase agricultural production and reduce food prices.",implemented,increase
16," ,The government introduced a new law to protect the rights of Indigenous peoples in an effort to recognize their sovereignty.",introduced,recognize
17,",The government introduced a new law to protect the rights of religious minorities in an effort to promote religious freedom.",introduced,promote
18,",The government introduced a new law to protect the rights of workers in an effort to ensure fair wages and safe working conditions.",introduced,ensure
19,",The government introduced a new law to protect the rights of consumers in an effort to promote fair trade and competition.",introduced,promote
20,",The government introduced a new law to protect the rights of the environment in an effort to reduce pollution and conserve natural resources.",introduced,promote
